KEGG_ID,dGf_prime (kJ/mol),Uncertainty (kJ/mol),Error
C00001,-238.1367122055623,0.7590340353939804,
C00002,-2811.578331958078,1.4899855434834715,
C00003,-2261.3806478863044,6.693914045434609,
C00004,-2236.551670011945,6.697240108384483,
C00005,-3070.5260288612576,6.829013246048597,
C00006,-3098.931269475794,6.831885021911919,
C00007,16.399999999865035,2.931870753584163,
C00008,-1945.4278989637223,1.2257909084742948,
C00009,-1095.2054811974629,0.7487227046582042,
C00010,-3091.7676959124556,7.867188761545227,
C00011,-386.0000000000019,2.9318707535840742,
C00012,,0.0,
C00013,-1966.8036657706114,1.1096494952399034,
C00014,-81.91776181003092,1.0790086840623587,
C00015,-2488.778008591411,4.782780171792431,
C00016,-2172.1728715236113,9.334011839720299,
C00017,,0.0,
C00018,-1168.5527945881995,3.930223795084731,
C00019,-347.102950928057,5.057314503730023,
C00020,-1033.9604935412508,1.1970871040264508,
C00021,-330.3885785085754,4.030626315577177,
C00022,-467.91458028218807,0.7585448115242854,
C00023,-4.610407570059421e-13,2.93187075358405,
C00024,-3231.0580128140787,7.826810198529094,
C00025,-692.4964449070071,1.2482969627114175,
C00026,-790.9910392350721,1.3049152962889043,
C00027,-133.98848078973268,2.9318707535840547,
C00028,,0.0,
C00029,-3145.0224313484823,4.796278337111907,
C00030,,0.0,
C00031,-915.4644683587076,0.6381575432173494,
C00032,,0.0,
C00033,-368.4001848570517,0.9836283036236195,
C00034,5.018727143244278e-12,2.93187075358405,
C00035,-2449.712992726801,8.647820842903243,
C00036,-793.6098453781267,1.0537030027619394,
C00037,-379.0749530308082,1.3643096553148562,
C00038,,0.0,
C00039,,0.0,
C00040,,0.0,
C00041,-368.14381577925167,1.1595292425195531,
C00042,-678.7488426035544,1.850769289275471,
C00043,-3120.3200686484724,6.120083188191275,
C00044,-3319.9637955637963,8.658006499494594,
C00045,,0.0,
C00046,,0.0,
C00047,-360.38140171859135,3.1349582867989145,
C00048,-470.7099273366382,1.4157216726872068,
C00049,-697.9611139718606,1.2725365958634336,
C00050,,0.0,
C00051,-940.9345407026665,4.729039446484608,
C00052,-3142.104055679764,4.841460417960832,
C00053,-2380.272705702017,5.471287510295915,
C00054,-1873.1766796107422,2.858790898797199,
C00055,-1362.603194812416,4.441229270894849,
C00056,,,Compound not found in Equilibrator database
C00057,,,Compound not found in Equilibrator database
C00058,-348.18720939005794,1.3574355345644706,
C00059,-744.9111310124478,2.2447580462661185,
C00060,,0.0,
C00061,-1315.2834793199722,8.576715398041648,
C00062,-293.7081341437864,4.997621459365524,
C00063,-3139.125281704982,4.869357988360366,
C00064,-523.7003942784842,1.851802165050647,
C00065,-521.4049206578978,1.1413443332285786,
C00066,,0.0,
C00067,-123.73883967703209,1.4055686363464837,
C00068,-1571.7305792359882,7.824133788955672,
C00069,,0.0,
C00070,,0.0,
C00071,,0.0,
C00072,-891.5458687818524,2.635497974340274,
C00073,-318.4969537308716,4.18549412013068,
C00074,-1267.3802770044276,0.8215117682535332,
C00075,-3356.817482251002,4.835338299285633,
C00076,,0.0,
C00077,-363.0114458439669,4.59642529098814,
C00078,-112.48280929533635,2.1653854924235474,
C00079,-207.07052002003908,2.9318707535840334,
C00080,,0.0,
C00081,-3063.7830930128434,3.7641599497390503,
C00082,-370.65666491786845,2.9318707535840436,
C00083,-3552.3392508508578,7.7656175579539655,
C00084,-140.0555027933688,1.225293240326586,
C00085,-1760.8750546099088,0.667625341314267,
C00086,-202.77724838008814,2.9318707535840542,
C00087,4.0413076408727996e-12,2.93187075358405,
C00088,-73.74431231480216,2.931870753584051,
C00089,-1568.2361715186994,1.4855380771200997,
C00090,-290.7486822708706,4.497863009798557,
C00091,-3541.5863084427365,8.034337302970957,
C00092,-1763.823666407905,0.6455442396164004,
C00093,-1338.3022549816849,1.0428386220943051,
C00094,-525.3377525781165,2.931870753584063,
C00095,-915.5829775854537,0.6673087408565351,
C00096,-3115.4337994747366,9.013114110311603,
C00097,-338.86793558993037,2.931870753584059,
C00098,,0.0,
C00099,-373.3570982108406,5.18215132972618,
C00100,-3216.7999920162215,8.518571116317082,
